filename,hazy_brisque,clahe_brisque,dcp_brisque,ridcp_brisque
IMG_0188.jpg,25.98895263671875,6.81268310546875,20.12176513671875,16.37030029296875
IMG_0191.jpg,18.22528076171875,4.29119873046875,10.23504638671875,10.89080810546875
IMG_1033.jpg,21.00897216796875,8.54901123046875,7.60955810546875,6.08026123046875
IMG_1542.jpg,50.82635498046875,60.12420654296875,64.72479248046875,20.28729248046875
IMG_1546.jpg,14.02655029296875,9.05145263671875,12.68621826171875,4.47869873046875
IMG_1556.jpg,27.23651123046875,2.54412841796875,4.81561279296875,2.90203857421875
IMG_1565.jpg,79.26531982421875,88.99920654296875,95.49871826171875,56.62127685546875
IMG_1582.jpg,11.60028076171875,7.33319091796875,14.02655029296875,3.79022216796875
IMG_1671.jpg,-6.15362548828125,1.55145263671875,-8.99249267578125,12.86932373046875
IMG_2374.jpg,25.02313232421875,19.30096435546875,40.78924560546875,8.54217529296875
IMG_3182.jpg,18.31414794921875,14.95867919921875,21.17205810546875,9.13299560546875
IMG_6025.jpg,3.69598388671875,2.65643310546875,0.67694091796875,9.21600341796875
IMG_6026.jpg,7.80780029296875,-0.39337158203125,0.16229248046875,9.33709716796875
