filename,PSNR,SSIM,DeltaE00
01_outdoor_hazy.jpg,14.599537095403537,0.7248666990586233,16.498347587141087
02_outdoor_hazy.jpg,18.40620531586662,0.7602028242289719,12.093141330871196
04_outdoor_hazy.jpg,17.39023888362981,0.7126194996584182,11.463251746394267
05_outdoor_hazy.jpg,13.761629704900407,0.6724549688745524,18.22121595647373
06_outdoor_hazy.jpg,19.00773346037444,0.7180924261309348,10.810858571749282
07_outdoor_hazy.jpg,13.726514077395384,0.6187639292557554,17.71261480886703
08_outdoor_hazy.jpg,12.9003633637606,0.5797658117245647,17.51691060317939
09_outdoor_hazy.jpg,11.919705094415516,0.580636100203196,19.953137708338883
10_outdoor_hazy.jpg,14.54791017283771,0.7201465170405369,14.26572045057167
11_outdoor_hazy.jpg,13.421310694539573,0.558478737104586,19.04831812053595
12_outdoor_hazy.jpg,16.9551303686427,0.7031196159543233,13.506332999338559
13_outdoor_hazy.jpg,18.256696783518404,0.7349810789714067,14.702861756027175
14_outdoor_hazy.jpg,18.05063092334024,0.7478313433566642,13.07380184034162
15_outdoor_hazy.jpg,12.129593639411766,0.5940028279746676,22.91911921388827
16_outdoor_hazy.jpg,13.020739997767139,0.5625358055693573,21.171099384180536
17_outdoor_hazy.jpg,14.429454704169205,0.6157488749402812,20.84154070052506
18_outdoor_hazy.jpg,13.609520778121858,0.5412019686002512,17.676554345951057
19_outdoor_hazy.jpg,16.597342865273934,0.70746358571792,12.818837049380972
20_outdoor_hazy.jpg,18.59357481867763,0.7036026257420661,12.632253196193464
22_outdoor_hazy.jpg,17.5374906342238,0.7213052398982215,12.593679881196177
23_outdoor_hazy.jpg,22.30433271386104,0.8181742080895912,8.71840865375076
24_outdoor_hazy.jpg,12.528038855310568,0.6840273719019518,18.721486702413046
25_outdoor_hazy.jpg,14.919399488485572,0.684636773234978,15.853897828644183
26_outdoor_hazy.jpg,16.076187021948197,0.6991255112107214,16.218806528354687
27_outdoor_hazy.jpg,17.959313821997554,0.7118893133518354,12.232607705186036
28_outdoor_hazy.jpg,17.835487792653314,0.6916868253948737,12.209904387532067
29_outdoor_hazy.jpg,15.619395389892274,0.571313354390956,14.481465628507845
30_outdoor_hazy.jpg,17.16183525586789,0.7252104781439289,13.747757725367421
31_outdoor_hazy.jpg,19.600730635993635,0.7639580688848002,10.692904999784385
32_outdoor_hazy.jpg,18.96784155281148,0.7745943993406709,11.217863747193224
33_outdoor_hazy.jpg,18.52098551938443,0.6980596783841321,12.985605188140857
34_outdoor_hazy.jpg,20.776370402656564,0.7655139193384205,9.621288918866746
35_outdoor_hazy.jpg,19.64476122450231,0.785791068049169,10.935384580430652
36_outdoor_hazy.jpg,19.871181835893616,0.7892123420923315,9.429539998467135
37_outdoor_hazy.jpg,17.172881604658645,0.7280723603700343,11.684954873979406
38_outdoor_hazy.jpg,17.614261526437097,0.7230825827483823,13.74554980283407
39_outdoor_hazy.jpg,19.2400865386368,0.733332783334654,12.726258670481986
40_outdoor_hazy.jpg,19.352050603922603,0.7440348850302742,11.231648346351912
41_outdoor_hazy.jpg,18.220754715735072,0.7860595323309819,13.007896797304399
42_outdoor_hazy.jpg,19.48678076172675,0.7664576142929768,10.636573931514283
43_outdoor_hazy.jpg,18.69411759160218,0.7592091843026881,11.310484663711389
44_outdoor_hazy.jpg,18.682408693368128,0.7645690812807903,11.930783758226156
45_outdoor_hazy.jpg,16.247335461807502,0.7222342507063196,13.68719226106267
