filename,PSNR,SSIM,DeltaE00
01_indoor_hazy.jpg,11.045036255790635,0.6489164469701901,22.440962548672957
02_indoor_hazy.jpg,13.747518227843083,0.7518531744620033,15.62396493868825
03_indoor_hazy.jpg,13.849477517889335,0.6055167102011829,17.68632342629106
04_indoor_hazy.jpg,14.521796653068739,0.6251432020212419,18.528789345031477
05_indoor_hazy.jpg,11.9807360169676,0.5656808091441342,19.961789211512045
06_indoor_hazy.jpg,12.693408051619379,0.52488856830403,18.202308179334736
07_indoor_hazy.jpg,11.696173691360974,0.6470459536272156,21.969857254610737
08_indoor_hazy.jpg,10.146489933916111,0.6225806968136859,28.02816987864536
09_indoor_hazy.jpg,14.14998215881947,0.7191051244262178,17.217598813907028
10_indoor_hazy.jpg,12.140198896572771,0.6512661209521258,20.92236819672409
11_indoor_hazy.jpg,17.24396012963538,0.7931260193699896,10.493634165667148
12_indoor_hazy.jpg,13.894786755250362,0.6939227777466478,18.737172547572573
13_indoor_hazy.jpg,13.584546806846776,0.6049005955503757,16.3070852747771
14_indoor_hazy.jpg,11.933942329810803,0.7826999624940408,16.57795484320413
15_indoor_hazy.jpg,12.303919764466196,0.7128163110099726,19.696746963643474
16_indoor_hazy.jpg,13.899828318156047,0.7190681519574168,15.497932361743267
17_indoor_hazy.jpg,10.726439401088637,0.5695817331569712,24.806143947396368
18_indoor_hazy.jpg,16.441162417182543,0.7032310016186258,12.69127829538944
19_indoor_hazy.jpg,10.208204923081183,0.6357087347490483,25.34089204547866
20_indoor_hazy.jpg,10.976265914523113,0.5928135815596252,24.91282120230291
21_indoor_hazy.jpg,13.442001555029112,0.6744021926302799,17.44753112049176
22_indoor_hazy.jpg,12.586678345814743,0.6768225771096938,17.552929886668952
23_indoor_hazy.jpg,11.730641755946882,0.6170095754378448,21.89244635593033
24_indoor_hazy.jpg,11.247433155106773,0.5774135277928027,23.39165129059099
25_indoor_hazy.jpg,9.283531800245603,0.37218576044785906,28.766890751065784
31_indoor_hazy.jpg,13.221069035632851,0.7140034535397465,15.381915472885524
32_indoor_hazy.jpg,12.368011017763155,0.6054251529967577,18.354775117776313
33_indoor_hazy.jpg,9.621369558709109,0.5620378308847425,27.689254223609975
34_indoor_hazy.jpg,13.280624601046533,0.7154350612478084,16.1910909102082
35_indoor_hazy.jpg,11.633731867659964,0.6011540514560831,24.130646578290317
